[00:36:23] [INFO] received Windows console close event; shutting log-core down
[00:39:18] [INFO] received Windows console close event; shutting log-core down
[00:40:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:49:16] [INFO] received Windows console close event; shutting log-core down
[00:49:53] [INFO] received Windows console close event; shutting log-core down
[00:50:29] [INFO] received Windows console close event; shutting log-core down
[00:51:53] [INFO] received Windows console close event; shutting log-core down
[00:56:18] [INFO] received Windows console close event; shutting log-core down
[00:56:27] [INFO] received Windows console close event; shutting log-core down
[01:01:40] [INFO] received Windows console close event; shutting log-core down
[01:03:10] [INFO] received Windows console close event; shutting log-core down
[01:05:37] [INFO] received Windows console close event; shutting log-core down
[01:08:04] [INFO] received Windows console close event; shutting log-core down
[01:09:24] [INFO] received Windows console close event; shutting log-core down
[01:12:00] [INFO] received Windows console close event; shutting log-core down
[01:14:03] [INFO] received Windows console close event; shutting log-core down
[01:15:09] [INFO] received Windows console close event; shutting log-core down
[01:15:58] [INFO] received Windows console close event; shutting log-core down
[01:16:06] [INFO] received Windows console close event; shutting log-core down
[01:39:00] [INFO] received Windows console close event; shutting log-core down
[01:41:12] [INFO] received Windows console close event; shutting log-core down
[01:42:44] [INFO] received Windows console close event; shutting log-core down
[01:43:36] [INFO] received Windows console close event; shutting log-core down
[17:12:55] [INFO] received Windows console close event; shutting log-core down
[16:06:29] [INFO] received Windows console close event; shutting log-core down
[14:04:20] [INFO] received Windows console close event; shutting log-core down
[14:04:46] [INFO] received Windows console close event; shutting log-core down
[14:15:53] [INFO] received Windows console close event; shutting log-core down
[14:37:11] [INFO] received Windows console close event; shutting log-core down
[13:10:46] [INFO] received Windows console close event; shutting log-core down
[13:22:00] [INFO] received Windows console close event; shutting log-core down
[13:38:54] [INFO] received Windows console close event; shutting log-core down
[13:39:52] [INFO] received Windows console close event; shutting log-core down
[13:44:58] [INFO] received Windows console close event; shutting log-core down
[14:05:29] [INFO] received Windows console close event; shutting log-core down
[14:33:14] [INFO] received Windows console close event; shutting log-core down
[15:40:06] [INFO] received Windows console close event; shutting log-core down
[22:57:35] [INFO] received Windows console close event; shutting log-core down
[08:02:55] [INFO] received Windows console close event; shutting log-core down
[08:03:58] [INFO] received Windows console close event; shutting log-core down
[08:26:28] [INFO] received Windows console close event; shutting log-core down
[18:48:53] [INFO] received Windows console close event; shutting log-core down
[19:14:36] [INFO] received Windows console close event; shutting log-core down
[21:52:35] [INFO] received Windows console close event; shutting log-core down
[21:55:51] [INFO] received Windows console close event; shutting log-core down
[21:59:58] [INFO] received Windows console close event; shutting log-core down
[22:12:13] [INFO] received Windows console close event; shutting log-core down
[22:20:30] [INFO] received Windows console close event; shutting log-core down
[22:22:05] [INFO] received Windows console close event; shutting log-core down
[22:25:10] [INFO] received Windows console close event; shutting log-core down
[11:46:44] [INFO] received Windows console close event; shutting log-core down
[11:49:00] [INFO] received Windows console close event; shutting log-core down
[19:42:55] [INFO] received Windows console close event; shutting log-core down
[19:46:27] [INFO] received Windows console close event; shutting log-core down
[20:21:36] [INFO] received Windows console close event; shutting log-core down
[20:47:25] [INFO] received Windows console close event; shutting log-core down
[20:56:18] [INFO] received Windows console close event; shutting log-core down
[20:25:26] [INFO] received Windows console close event; shutting log-core down
